index,2021年第三季度,2021年第二季度,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度,2017年第四季度,2017年第三季度,2017年第二季度,2017年第一季度,2016年第四季度,2016年第三季度,2016年第二季度,2016年第一季度,2015年第四季度,2015年第三季度,2015年第二季度,2015年第一季度,2014年第四季度,2014年第三季度,2014年第二季度,2014年第一季度,2013年第四季度,2013年第三季度,2013年第二季度,2013年第一季度,2012年第四季度,2012年第三季度,2012年第二季度,2012年第一季度,2011年第四季度,2011年第三季度,2011年第二季度,2011年第一季度,2010年第四季度,2010年第三季度,2010年第二季度,2010年第一季度,2009年第四季度,2009年第三季度,2009年第二季度,2009年第一季度,2008年第四季度,2008年第三季度,2008年第二季度,2008年第一季度,2007年第四季度,2007年第三季度,2007年第二季度,2007年第一季度,2006年第四季度,2006年第三季度,2006年第二季度,2006年第一季度,2005年第四季度,2005年第三季度,2005年第二季度,2005年第一季度
交通运输、仓储和邮政业增加值当季值(亿元),12752.6,12637.3,10067.1,12001.7,11205.3,10551.5,7803.3,11147.2,11231.6,10771.2,9316.3,10773.5,10582.3,10174.9,8806.5,9940.9,9688.7,9397.7,8094.5,8961.6,8591.6,8295,7180.5,8097.3,7909.4,7702.4,6810.5,7609.3,7411,7197,6317.1,6928.1,6768.6,6529.6,5816.3,6330.8,6117.8,6030.5,5284.2,5772.6,5685.7,5518.1,4865.6,4966.1,4853.8,4763.8,4200,4415.3,4266.8,4137.7,3702.5,4107.2,3984.7,4383.3,3892.4,3987.1,3448.8,3814.9,3354.3,3256,2899.7,3161.8,2868.8,2705.7,2540.5,2867.6,2554.9
交通运输、仓储和邮政业增加值累计值(亿元),35457,22704.4,10067.1,41561.7,29560.1,18354.8,7803.3,42466.3,31319.1,20087.4,9316.3,40337.2,29563.7,18981.4,8806.5,37121.9,27181,17492.3,8094.5,33028.7,24067.1,15475.5,7180.5,30519.5,22422.2,14512.8,6810.5,28534.4,20925.1,13514.1,6317.1,26042.7,19114.5,12345.9,5816.3,23763.2,17432.5,11314.7,5284.2,21842,16069.4,10383.7,4865.6,18783.6,13817.6,8963.8,4200,16522.4,12107.1,7840.3,3702.5,16367.6,12260.4,8275.6,3892.4,14605.1,10618,7169.2,3354.3,12186.3,8930.2,6030.5,2868.8,10668.8,7963,5422.5,2554.9
住宿和餐饮业增加值当季值(亿元),4830.1,4169,4059.3,5266.6,4448.5,3455.3,2800.3,5032.6,4575.5,4091.8,4203.2,4640.6,4212.6,3779.6,3887.8,4240.1,3838.5,3440.9,3536.5,3840.7,3473.2,3112.3,3181.6,3468.8,3145.9,2815.2,2876.2,3159.6,2858,2577.1,2634.1,2884,2608.7,2341.1,2394.5,2690.9,2433.5,2181.6,2230.9,2421.2,2186.3,1961.9,1996,2171.7,1956.7,1768.8,1814.8,1928.6,1722.7,1616.3,1689.5,1830.8,1647.8,1535.2,1602.3,1563.5,1366.5,1295.8,1322.3,1244.1,1212.2,1158.1,1178.2,1059.4,1052.5,1035.4,1048.4
住宿和餐饮业增加值累计值(亿元),13058.4,8228.3,4059.3,15970.7,10704.1,6255.6,2800.3,17903.1,12870.5,8295,4203.2,16520.6,11880,7667.4,3887.8,15056,10815.9,6977.4,3536.5,13607.8,9767.1,6293.8,3181.6,12306.1,8837.3,5691.4,2876.2,11228.7,8069.2,5211.2,2634.1,10228.3,7344.3,4735.6,2394.5,9536.9,6846,4412.5,2230.9,8565.4,6144.2,3957.9,1996,7712,5540.3,3583.6,1814.8,6957,5028.4,3305.7,1689.5,6616.1,4785.3,3137.5,1602.3,5548.1,3984.6,2618.1,1322.3,4792.6,3548.5,2336.3,1178.2,4195.7,3136.3,2083.8,1048.4
金融业增加值当季值(亿元),23398.2,22563,23074.2,20728.7,21514.3,20724.2,21103,18777.1,19186,18864.5,19423,17378.1,17780.6,17401,18050.6,15938.8,16290.4,15856.3,16758.8,14866.4,14945.4,14811.7,15340.4,14153.9,14057.5,13978,14110.4,12039.9,11620.7,11377.7,11815.1,10380.8,10319.9,10186,10406.7,8909.4,8809,8707,8846.7,7787.2,7588.4,7565.9,7805.7,6746.8,6519.6,6183.8,6282.9,5733.7,5550,5275.5,5277.7,4819.6,4607.4,4401.7,4516.8,3881.7,3898.1,3689.4,3730.7,2855.2,2381,2269.7,2466.3,2066.2,1802.4,1681.5,1935.9
金融业增加值累计值(亿元),69035.4,45637.2,23074.2,84070.1,63341.4,41827.1,21103,76250.6,57473.5,38287.5,19423,70610.3,53232.2,35451.6,18050.6,64844.3,48905.5,32615.1,16758.8,59964,45097.5,30152.1,15340.4,56299.8,42145.9,28088.4,14110.4,46853.4,34813.5,23192.8,11815.1,41293.4,30912.6,20592.7,10406.7,35272.2,26362.8,17553.7,8846.7,30747.2,22960.1,15371.6,7805.7,25733.1,18986.3,12466.7,6282.9,21836.8,16103.1,10553.2,5277.7,18345.6,13526,8918.5,4516.8,15200,11318.2,7420.2,3730.7,9972.3,7117,4736,2466.3,7486,5419.8,3617.4,1935.9
房地产业增加值当季值(亿元),18775,20282.2,19460.1,20903.3,19383.1,18799.4,15466.7,18996.2,17576.3,17692.2,16180.1,17669.5,15914,16176.1,14863.5,15925.1,14054.9,14059,13047,13861.4,12615.3,12209.7,11283,12005.3,10651.9,10459.3,9457.4,10688.4,9332.5,9188.6,8876.9,9850.9,8761.3,8513.5,8214.8,8786.5,7677.6,7397.6,6890.2,7655.2,6773.7,6809.9,6541.9,6789.1,5623.2,5624.9,5289.4,5326.8,4643.5,4691.5,4098.8,4024.6,3445.7,3615,3514.9,4080.1,3419.3,3227.7,2986.9,3019.4,2489.8,2401.4,2410.3,2450.1,2098.7,1945.6,1988.4
房地产业增加值累计值(亿元),58517.2,39742.2,19460.1,74552.5,53649.2,34266.1,15466.7,70444.8,51448.6,33872.3,16180.1,64623,46953.5,31039.5,14863.5,57086,41160.8,27106,13047,49969.4,36108,23492.7,11283,42573.8,30568.5,19916.7,9457.4,38086.4,27398,18065.5,8876.9,35340.4,25489.5,16728.3,8214.8,30751.9,21965.3,14287.8,6890.2,27780.7,20125.5,13351.8,6541.9,23326.6,16537.5,10914.3,5289.4,18760.5,13433.8,8790.3,4098.8,14600.3,10575.6,7129.9,3514.9,13714,9633.9,6214.6,2986.9,10320.9,7301.5,4811.7,2410.3,8482.7,6032.6,3933.9,1988.4
信息传输、软件和信息技术服务业增加值当季值(亿元),10487.9,11868.4,11318.9,10073.4,8924.5,9803.9,9149,8530.2,7625.5,8602.3,8633.9,7520.8,6690.9,7309.6,7212.2,6376,5539.8,5977.9,5915.2,5202.3,4662.3,5130.7,5128.8,4459.1,4048.6,4524,4485.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信息传输、软件和信息技术服务业增加值累计值(亿元),33675.1,23187.2,11318.9,37950.7,27877.3,18952.8,9149,33391.8,24861.7,17236.2,8633.9,28733.5,21212.7,14521.8,7212.2,23808.9,17432.9,11893.1,5915.2,20124.1,14921.8,10259.5,5128.8,17516.8,13057.8,9009.1,4485.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
租赁和商务服务业增加值当季值(亿元),8663.1,7714.4,7749.2,9512,7929.2,7101.6,7073.4,9179,8334.2,7529,7595.8,8170.4,7533.3,6885.3,6879.5,7128.4,6464.6,5868.4,5811.9,6015.8,5452.4,5075.1,4985.3,4883.9,4671.2,4282.6,4252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
租赁和商务服务业增加值累计值(亿元),24126.8,15463.6,7749.2,31616.2,22104.2,14175,7073.4,32638,23459,15124.8,7595.8,29468.5,21298.1,13764.8,6879.5,25273.3,18144.9,11680.3,5811.9,21528.6,15512.8,10060.4,4985.3,18089.7,13205.8,8534.6,4252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他行业增加值当季值(亿元),45841,43945.4,44671.9,44211.6,43012.2,40175.2,40008.5,41543.3,41074.1,39407.5,39661.2,37474.6,36930.6,35673.1,35864.9,33433.7,32708,31998.1,31864.3,29636.1,28822.1,28265.4,28368.1,25870.3,25519.1,24872.6,24987.9,30618.9,29775.4,29595.8,29628.4,27016.9,26233,26240.1,26357.4,23718.8,22981.5,23026.4,23314.8,20920.4,20181.9,19922.1,20057.7,17886.7,16954.3,16705.8,17107.9,15593.3,14654.8,14502.3,15252.1,13724.3,13031.6,12874,13539.4,11807.5,10825.1,10706.5,11222.3,9451.2,8842,9023.6,9594,8052.3,7569.6,7739,8381.2
其他行业增加值累计值(亿元),134458.3,88617.3,44671.9,167407.4,123195.8,80183.6,40008.5,161686,120142.7,79068.6,39661.2,145943.1,108468.5,71537.9,35864.9,130004.1,96570.4,63862.4,31864.3,115091.6,85455.5,56633.5,28368.1,101249.9,75379.6,49860.5,24987.9,119618.5,88999.6,59224.2,29628.4,105847.3,78830.4,52597.4,26357.4,93041.6,69322.8,46341.2,23314.8,81082.2,60161.7,39979.8,20057.7,68654.7,50768,33813.7,17107.9,60002.6,44409.3,29754.4,15252.1,53169.3,39445,26413.4,13539.4,44561.5,32754,21928.8,11222.3,36910.8,27459.6,18617.6,9594,31742.1,23689.9,16120.2,8381.2
