index,2021年第三季度,2021年第二季度,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度,2017年第四季度,2017年第三季度,2017年第二季度,2017年第一季度,2016年第四季度,2016年第三季度,2016年第二季度,2016年第一季度,2015年第四季度,2015年第三季度,2015年第二季度,2015年第一季度,2014年第四季度,2014年第三季度,2014年第二季度,2014年第一季度,2013年第四季度,2013年第三季度,2013年第二季度,2013年第一季度,2012年第四季度,2012年第三季度,2012年第二季度,2012年第一季度,2011年第四季度,2011年第三季度,2011年第二季度,2011年第一季度,2010年第四季度,2010年第三季度,2010年第二季度,2010年第一季度,2009年第四季度,2009年第三季度,2009年第二季度,2009年第一季度,2008年第四季度,2008年第三季度,2008年第二季度,2008年第一季度,2007年第四季度,2007年第三季度,2007年第二季度,2007年第一季度,2006年第四季度,2006年第三季度,2006年第二季度,2006年第一季度,2005年第四季度,2005年第三季度,2005年第二季度,2005年第一季度
农林牧渔业总产值累计值(亿元),92863.4,52541.1,21587.3,134356.3,86705.4,47994.5,19309.7,123967.9,76431.7,42005.8,16301.7,113579.5,70929.5,39185.6,15936.5,109331.7,72571.5,39528.3,15940.9,106478.7,72058.3,39654.4,16119.3,101893.5,67892.2,36293.9,14221.6,97822.5,64934.4,34300.4,13730,93173.7,60984.3,32364.7,13206.4,86342.2,56838,30458.9,12329.4,78837,52132.1,27384.5,10673.2,67763.1,43916.6,23321.2,9171.3,59132.8,38716.6,21046.5,8509.1,57420.8,37727.8,19613,8548,48651.8,31496,16381,6474,40810.8,26743,14564,5810.8,39450.9,25118.3,13647.1,5556.4
农业总产值累计值(亿元),46671.1,22348.1,6312,70680.4,43265.7,20558.6,5687.2,66066.5,40420.7,19638.3,5298.5,61452.6,36993.9,17734.3,4854.3,58059.8,38724.2,18376.7,5022.7,55659.9,37845.4,18469.5,5292.1,54205.3,36382.3,17419.3,4614.7,51851.1,34799.1,16000.4,4292.6,48943.9,32332.8,14666,3862.2,44845.7,29782,13366.6,3567.5,40339.6,27109.8,11931.1,3120.1,35909.1,23483.3,10578.8,2722.4,29936.9,19432,8914.6,2271,27679.9,17883.6,8192,2187,24444.7,15229.3,6942,1813,21522.3,13594.4,6300.8,1653.5,19613.4,12215.5,5439.1,1350.1
林业总产值累计值(亿元),3841.3,2514.6,880.5,6118.8,3537.6,2300.1,816,5775.7,3479.8,2276,815.1,5432.6,3308.2,2149.6,765.2,4980.6,2978.3,2021.3,734.5,4635.9,2728.8,1851.2,695.9,4358.4,2630.6,1758.7,644.6,4190,2527.1,1688.7,634.7,3847.4,2216.4,1517.3,564.1,3407,2018,1404.9,517.6,3092.4,1833.5,1216.9,447,2575,1588.7,979.7,375.1,2376.6,1307.5,817.1,316.3,2180.3,1228.8,764,299,1889.9,1042.6,659,260,1610.8,936.2,594,223.1,1425.5,824.9,548.7,208.5
牧业总产值累计值(亿元),28329,19298.2,10767.7,37431.2,27431.8,17705.7,9532.5,33064.3,20512.8,12854.8,6961.2,28697.4,19298.8,12471.3,7231.4,29361.2,20514.1,12962.1,7522.3,30461.2,21985.3,13685.9,7668.9,28649.3,20130.5,11934.1,6715.9,27963.4,19395.6,11766.8,6709.4,27572.4,18860.1,11694.3,6838.4,26491.2,18149,11620.9,6485.2,25194.2,17117.1,10662.7,5541.9,20461.1,13669.7,8645.7,4699.3,18908.4,13377.8,8529.8,4696.6,20354.2,14233.3,9273,4885,16068.6,11576.4,6493,3388,12083.9,8901.1,5623.6,3049.1,13310.8,9073.1,5808.8,3183.5
渔业总产值累计值(亿元),9129.6,5523.1,2435.6,13013.3,7961.2,4788.4,2157.2,12572.4,7884.9,4812.4,2203.4,12131.5,7557.6,4621.7,2156.3,11577.1,7104.3,4288.4,1850.2,10892.9,6575.6,3960.4,1731.2,10339.1,6111.8,3668.7,1586.4,9877.5,5773,3455.5,1484.9,9254.5,5362.6,3220.6,1390.2,8403.9,4857,2917.7,1249.7,7337.4,4261.4,2525.1,1085,6263.4,3566.4,2189.2,956.8,5524,3146.2,1941.8,854.2,5137.5,3036.5,1866,816,4427.9,2701.6,1590,694,3970.5,2460.2,1536.8,658.4,4016.1,2221.7,1382.9,604.7
